Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.23109,0.55837,0.0005,0,0,0,10.777,21.315,10.04,-6.1572E-16,50.695,1.3047E-15,72.011,0,0,0,0,0,0,package://raceworld/meshes/base_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://raceworld/meshes/base_link.STL,,赛道-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
grass_Link,0.02018,0.8675,-0.005,0,0,0,411.05,922.47,-4.5837E-13,1.7797E-18,2149.2,5.6483E-14,3071.7,0,0,0,0,0,0,package://raceworld/meshes/grass_Link.STL,0.28627,0.66275,0.32941,1,0,0,0,0,0,0,package://raceworld/meshes/grass_Link.STL,,地面-1,Origin_global,基准轴1,grass_Joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
roadguard_Link,-0.23109,0.55837,0.001,0,0,0,5.3884,11.29,5.063,-3.1245E-16,26.12,6.8958E-16,37.411,0,0,0,0,0,0,package://raceworld/meshes/roadguard_Link.STL,0.64314,0.61569,0.6,1,0,0,0,0,0,0,package://raceworld/meshes/roadguard_Link.STL,,边线-2,Origin_global,基准轴1,roadguard_Joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
midline_Link,-0.23126,0.55822,0.00075,0,0,0,0.078,6.6462E-07,5.151E-19,-1.5488E-22,6.6463E-07,1.1524E-22,1.3E-06,0,0,0,0,0,0,package://raceworld/meshes/midline_Link.STL,1,1,1,1,0,0,0,0,0,0,package://raceworld/meshes/midline_Link.STL,,中线-1,Origin_global,基准轴1,midline_Joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
signsupport_Link,0.62162,-0.60521,0.06105,0,0,0,0.068432,0.00017248,-4.0843E-14,-8.9055E-08,0.00017247,1.4217E-12,6.394E-06,0,0,0,0,0,0,package://raceworld/meshes/signsupport_Link.STL,0.49804,0.49804,0.49804,1,0,0,0,0,0,0,package://raceworld/meshes/signsupport_Link.STL,,立柱-1;立柱-2,Origin_global,基准轴1,signsupport_Joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
signbg_Link,0.6106,-0.60521,0.144,0,0,0,0.0028274,5.7432E-06,6.6813E-22,-8.2918E-22,2.8718E-06,3.6705E-22,2.8718E-06,0,0,0,0,0,0,package://raceworld/meshes/signbg_Link.STL,1,1,1,1,0,0,0,0,0,0,package://raceworld/meshes/signbg_Link.STL,,边框-1;边框-2,Origin_global,基准轴1,signbg_Joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
word_Link,0.57181,-0.60491,0.14539,0,0,0,0.0013963,5.5232E-08,-3.5064E-13,4.1093E-14,3.2207E-08,6.3051E-10,2.3258E-08,0,0,0,0,0,0,package://raceworld/meshes/word_Link.STL,1,1,1,1,0,0,0,0,0,0,package://raceworld/meshes/word_Link.STL,,STOP-2;START-2,Origin_global,基准轴1,word_Joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
stopsignbg_Link,0.1126,-0.60521,0.144,0,0,0,0.023562,2.9452E-05,1.939E-21,-1.2214E-37,1.4744E-05,-1.8808E-37,1.4744E-05,0,0,0,0,0,0,package://raceworld/meshes/stopsignbg_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://raceworld/meshes/stopsignbg_Link.STL,,标牌-1,Origin_global,基准轴1,stopsignbg_Joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
startsignbg_Link,1.1126,-0.60521,0.144,0,0,0,0.023562,2.9452E-05,5.1771E-21,8.0674E-23,1.4744E-05,3.7058E-22,1.4744E-05,0,0,0,0,0,0,package://raceworld/meshes/startsignbg_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://raceworld/meshes/startsignbg_Link.STL,,标牌2-1,Origin_global,基准轴1,startsign_Joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
bridge1_Link,-1.7447,2.4824,0.49802,0,0,0,10.836,2.3142,-0.016111,0.0062921,3.7761,-0.76615,5.0117,0,0,0,0,0,0,package://raceworld/meshes/bridge1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://raceworld/meshes/bridge1_Link.STL,,拖鞋门-1,Origin_global,基准轴1,bridge1_Joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
